Episode,Success,Steps,Reward,PathDistance
20,0,317,-3.563374,55.68702
21,0,0,0,0
21,0,0,0,0
21,0,0,0,0
21,0,0,0,0
15,0,218,0.4563997,43.36583
16,0,0,0,0
16,0,0,0,0
14,0,255,0.949001,47.26191
20,1,378,0.784813,46.12157
23,0,275,-0.680799,48.95593
24,0,0,0,0
15,0,631,-4.12607,83.56871
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
16,0,0,0,0
15,0,647,1.870599,90.86591
16,0,0,0,0
20,1,480,2.734985,50.4645
21,0,114,-4.022777,31.5596
22,0,0,0,0
22,0,0,0,0
22,0,0,0,0
22,0,0,0,0
17,0,236,0.7132003,48.58461
19,0,210,0.4579997,41.28836
15,0,271,0.4457996,44.34813
20,0,182,0.4635998,39.74275
16,1,359,2.791688,40.74827
21,1,337,4.898903,46.31777
21,0,322,0.8356031,54.12979
22,0,0,0,0
22,0,0,0,0
19,0,528,0.8943994,85.33295
20,0,0,0,0
18,0,654,0.8691998,87.52054
19,0,0,0,0
16,0,190,-0.03799995,37.46433
22,1,379,0.7653267,47.22557
22,0,209,-2.041807,38.43259
23,0,0,0,0
23,0,0,0,0
17,0,158,-0.03159996,34.86309
17,1,347,4.8959,45.32671
20,0,312,-0.5623987,58.71459
21,0,0,0,0
16,0,1084,2.069981,137.6789
22,0,382,0.9236013,56.02155
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
16,1,776,0.6673164,93.80924
22,0,927,-1.800433,120.0154
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
23,0,0,0,0
18,1,320,4.804004,42.59148
18,0,392,0.9216023,55.95887
19,0,560,0.3879975,76.90287
20,0,0,0,0
23,0,425,-0.8868087,63.41259
24,0,0,0,0
24,0,0,0,0
23,1,339,0.898314,39.20256
16,1,1283,6.11509,146.2872
23,0,731,0.8538069,96.45464
24,0,0,0,0
24,0,0,0,0
24,0,0,0,0
24,0,0,0,0
18,1,1156,6.951978,134.6645
24,0,222,0.9556009,43.19966
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
25,0,0,0,0
16,1,1288,5.793788,147.085
24,0,1322,3.735579,177.0433
25,0,0,0,0
21,0,668,1.866397,99.087
22,0,0,0,0
24,0,373,-1.175212,54.51202
25,0,0,0,0
25,0,0,0,0
19,1,411,4.876704,48.84007
24,1,349,0.795331,46.79053
25,0,293,-1.16041,53.2545
26,0,0,0,0
26,0,0,0,0
25,0,336,-0.8851995,53.1985
26,0,0,0,0
25,0,473,-3.09459,65.30354
26,0,0,0,0
26,0,0,0,0
26,0,0,0,0
26,0,0,0,0
17,1,971,5.478693,96.13508
20,1,391,4.882699,46.51269
17,1,1162,7.050778,131.0443
18,0,134,-0.02679997,33.42036
19,0,0,0,0
19,0,0,0,0
19,0,0,0,0
17,0,591,1.881795,87.28212
18,0,0,0,0
25,1,414,4.8758,45.7809
19,0,960,3.198382,131.2743
17,0,2747,7.849697,325.2583
18,0,0,0,0
26,1,388,0.8836193,45.23329
21,1,428,4.871605,48.52807
26,0,620,0.7328011,88.9648
27,0,0,0,0
26,1,351,4.894704,43.08726
17,1,1132,7.160379,135.408
19,1,1091,7.440873,131.7415
26,1,758,3.772584,84.19924
22,0,1076,2.784784,138.2505
23,0,0,0,0
20,0,1493,3.601381,180.4525
27,1,412,4.657799,45.08731
22,0,353,0.7928063,61.73299
23,0,0,0,0
23,0,0,0,0
19,0,721,-1.862227,94.68297
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
20,0,0,0,0
27,1,352,4.894404,41.90983
21,1,2488,10.43152,296.8531
27,1,403,5.879095,54.34487
27,0,547,0.8905981,82.77087
28,0,0,0,0
28,1,363,4.8911,45.60995
23,1,357,2.892888,47.46149
20,0,342,-4.787525,60.37549
21,0,0,0,0
21,0,0,0,0
21,0,0,0,0
21,0,0,0,0
21,0,0,0,0
28,1,335,4.8995,43.49977
18,0,770,1.1878,109.9872
19,0,0,0,0
19,0,0,0,0
19,0,0,0,0
18,0,1166,2.266785,142.0342
19,0,0,0,0
20,0,724,2.355191,98.53355
21,0,0,0,0
20,1,1141,7.455277,139.2536
18,0,1271,3.907368,163.9298
19,0,0,0,0
28,1,405,4.878504,49.18929
29,1,320,4.904003,43.64136
24,0,315,1.436999,54.88082
25,0,0,0,0
25,0,0,0,0
29,1,344,4.896803,44.2813
19,0,298,-0.05960168,53.23677
20,0,0,0,0
18,1,1340,7.097982,158.2474
30,1,261,4.921702,40.84494
29,0,300,0.9400019,54.27471
30,0,0,0,0
30,0,0,0,0
25,1,339,3.398289,46.38527
30,1,350,4.752999,43.61459
21,1,736,0.6553197,90.31447
31,1,301,4.9097,41.47715
30,1,303,2.90909,39.80034
26,1,276,4.917203,39.1462
19,0,737,0.941802,109.8967
28,0,1051,2.170584,141.766
29,0,0,0,0
19,0,476,1.404802,74.30472
21,0,1457,4.585238,186.9758
31,1,321,4.903703,46.8856
20,0,684,1.363195,102.9907
21,0,0,0,0
32,1,298,4.910603,43.05199
31,1,267,4.919903,40.64814
29,0,268,-0.1584013,54.32098
30,0,0,0,0
27,1,317,4.9049,42.81222
22,0,1412,4.217591,176.0825
21,1,1146,6.450181,140.5462
32,1,330,4.901003,46.81939
22,1,633,6.107693,88.03145
20,0,442,1.411599,72.41915
32,1,297,4.9109,41.50512
19,1,1426,3.57216,170.1917
33,1,335,4.8995,41.53729
33,1,598,4.689404,79.51497
33,1,335,4.797102,48.07389
22,0,555,2.388996,98.96388
23,1,3975,6.570854,444.9457
28,1,645,4.792101,75.35736
34,1,246,4.926203,38.34124
29,0,206,0.9588012,43.29876
30,0,0,0,0
30,0,0,0,0
23,1,718,5.952787,91.1125
34,1,394,4.881804,49.87535
22,0,1227,4.254599,169.4361
21,0,1153,3.769382,161.711
35,1,308,4.393202,43.22985
21,1,2186,11.22578,270.9029
